瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),钦拌 老荤樊(MJ/m2)
184,力林,2019-01-01,5.6,4.8,7,0,2.27
184,力林,2019-01-02,5.1,4.5,6.1,,2.11
184,力林,2019-01-03,5.1,3.5,8,,8.89
184,力林,2019-01-04,5.8,2.6,10,1.6,3.02
184,力林,2019-01-05,7,5.2,9,,6.14
184,力林,2019-01-06,5.7,4.5,7.7,,7.57
184,力林,2019-01-07,5.9,3.1,8.8,,9.6
184,力林,2019-01-08,6.6,4.5,8.8,,2.96
184,力林,2019-01-09,4.5,2.2,5.8,,7.36
184,力林,2019-01-10,6.9,5.6,7.8,,3.72
184,力林,2019-01-11,7.9,5.9,9.4,1.7,5.63
184,力林,2019-01-12,8.9,8.1,10.9,2,8.35
184,力林,2019-01-13,7.9,6.6,10,,6.89
184,力林,2019-01-14,7.3,5.5,9.7,,9.93
184,力林,2019-01-15,7,3.6,9.9,,8.16
184,力林,2019-01-16,3.1,2,4,,2.33
184,力林,2019-01-17,5.6,3.9,6.5,,1.95
184,力林,2019-01-18,6.4,3.9,9.8,,12.79
184,力林,2019-01-19,8.9,3.6,12.6,1,3.38
184,力林,2019-01-20,6.7,3.9,11.6,,6.36
184,力林,2019-01-21,6.2,3.9,8.1,,8.87
184,力林,2019-01-22,8.3,5.8,10.9,,9.77
184,力林,2019-01-23,8.6,6.7,11.9,,12.13
184,力林,2019-01-24,6.2,3.4,9.6,,14.28
184,力林,2019-01-25,5.7,3.6,10.1,,7.95
184,力林,2019-01-26,4.3,2.9,5.8,,10.38
184,力林,2019-01-27,5.6,2.4,8.5,,13.04
184,力林,2019-01-28,7.7,4.8,10.8,,6.69
184,力林,2019-01-29,6.3,2.8,9.2,,14.21
184,力林,2019-01-30,8.2,6.8,10.1,,4.44
184,力林,2019-01-31,4.9,3.3,8.2,17.9,1.09
184,力林,2019-02-01,5,3.4,6.8,,6.9
184,力林,2019-02-02,9.3,5,12,,13.69
184,力林,2019-02-03,13.3,8.6,18.4,9.8,3.13
184,力林,2019-02-04,6.9,4.9,9.5,,15.14
184,力林,2019-02-05,9.3,4,13.6,,14.52
184,力林,2019-02-06,11.8,9.1,15.5,,8.87
184,力林,2019-02-07,6.5,1.9,12.1,3.8,2.73
184,力林,2019-02-08,3.4,1.5,5.6,,12.46
184,力林,2019-02-09,3,1.5,4.7,,4.92
184,力林,2019-02-10,3.1,2,4.9,,6.38
184,力林,2019-02-11,3.7,2.9,4.7,,2.55
184,力林,2019-02-12,5.7,1,8.7,,14.89
184,力林,2019-02-13,6.8,5.2,8.7,,15.74
184,力林,2019-02-14,5.6,4.2,8,,8.42
184,力林,2019-02-15,6.4,4.3,7.7,,2.07
184,力林,2019-02-16,4.2,3.1,7,,2.18
184,力林,2019-02-17,4.4,3.1,6.9,,8.79
184,力林,2019-02-18,7.1,2.9,9.8,2.1,4.87
184,力林,2019-02-19,9.3,6.4,13,15.9,2.75
184,力林,2019-02-20,6.9,4.8,9.4,,7.62
184,力林,2019-02-21,7.1,5.6,8.7,,14.58
184,力林,2019-02-22,8.3,6.5,10.9,1.6,2.74
184,力林,2019-02-23,9.3,4.2,13.7,,16.02
184,力林,2019-02-24,11,8.6,14.1,,18.29
184,力林,2019-02-25,9.4,7.3,13.1,,17.15
184,力林,2019-02-26,8.9,5.3,12.2,,18.12
184,力林,2019-02-27,10.9,9.4,11.9,4.6,2.36
184,力林,2019-02-28,10.4,8,13.2,.1,14.19
184,力林,2019-03-01,9.4,6.4,12.3,,16.6
184,力林,2019-03-02,11,7.3,14.3,.4,4.19
184,力林,2019-03-03,11.8,10.5,13.3,5.9,3.63
184,力林,2019-03-04,10,8.4,12.2,2,10.8
184,力林,2019-03-05,10.7,6.2,13.4,,9.25
184,力林,2019-03-06,10.4,8.4,13.8,11.3,10.05
184,力林,2019-03-07,8.3,7.3,10.4,,16.21
184,力林,2019-03-08,8.5,3.7,12.3,,20.92
184,力林,2019-03-09,11.6,6.5,16.6,9,9.55
184,力林,2019-03-10,10.7,8.9,13.1,22.1,1.74
184,力林,2019-03-11,10,6.9,13.6,1.2,16.5
184,力林,2019-03-12,10.7,6.1,16,,19.74
184,力林,2019-03-13,8.4,5.1,11.7,,21.74
184,力林,2019-03-14,10,7,14,,14.8
184,力林,2019-03-15,10.2,6.2,15.8,,17.96
184,力林,2019-03-16,10.1,6,14.1,,19.86
184,力林,2019-03-17,11.2,8,14.1,,22.01
184,力林,2019-03-18,10.7,6.9,14.2,1.9,7.79
184,力林,2019-03-19,12.3,9.2,16.1,,20.59
184,力林,2019-03-20,16.3,9.9,21.2,1.7,5.74
184,力林,2019-03-21,10.7,7.3,20,,4.39
184,力林,2019-03-22,7.8,6.4,10.6,,19.96
184,力林,2019-03-23,8.5,6.2,11.8,,20.27
184,力林,2019-03-24,7.5,3.6,11,,23.66
184,力林,2019-03-25,9.9,6.4,13.2,,8.25
184,力林,2019-03-26,14.2,10.1,16.7,,20.52
184,力林,2019-03-27,16.4,10.3,22,,21.99
184,力林,2019-03-28,14.6,12.8,16.9,,17.83
184,力林,2019-03-29,13.9,12.2,17,,20.31
184,力林,2019-03-30,11,7.9,14.6,,17.31
184,力林,2019-03-31,8.4,7.1,11.4,,20.01
184,力林,2019-04-01,10.5,7.1,13.2,,23.52
184,力林,2019-04-02,10.6,8.6,14,,23.31
184,力林,2019-04-03,10.5,6.6,14.4,,25.23
184,力林,2019-04-04,11.3,6.2,14.6,,21.78
184,力林,2019-04-05,14.5,11.9,18.2,,22.29
184,力林,2019-04-06,15,11,20.8,,21.96
184,力林,2019-04-07,16.4,13,21.4,2.7,16.68
184,力林,2019-04-08,14.8,11.7,18.1,,23.46
184,力林,2019-04-09,15,14.1,17.4,6,9.22
184,力林,2019-04-10,10.4,9.6,14.2,6.7,2.6
184,力林,2019-04-11,11.6,9.7,13.8,,5.09
184,力林,2019-04-12,12.7,9.2,16.6,,25.72
184,力林,2019-04-13,13.7,9.4,17.7,,18.6
184,力林,2019-04-14,13.6,10.6,17.1,,7.1
184,力林,2019-04-15,13,8.7,17.1,,26.59
184,力林,2019-04-16,16.8,10.7,25,,19.43
184,力林,2019-04-17,15.8,13.6,18.6,,21.44
184,力林,2019-04-18,16.7,12.3,22.1,,26.02
184,力林,2019-04-19,16.8,14.3,21.6,,23.78
184,力林,2019-04-20,17.1,14.5,20,,24.33
184,力林,2019-04-21,18.5,15,23.1,,20.37
184,力林,2019-04-22,19.3,16.6,24,,22.93
184,力林,2019-04-23,19.1,17.3,22.5,18.7,11
184,力林,2019-04-24,18,15.7,21.2,,16.9
184,力林,2019-04-25,15.8,14.1,17.9,,10.18
184,力林,2019-04-26,12.2,11.3,15.9,.3,4.87
184,力林,2019-04-27,14,11.7,17,,24.84
184,力林,2019-04-28,15,12.1,17.5,.1,6.38
184,力林,2019-04-29,16.1,14.5,20.3,10.5,9.29
184,力林,2019-04-30,15.6,14.5,17.6,1.4,8.12
184,力林,2019-05-01,14.7,12.4,18.6,,16.79
184,力林,2019-05-02,17.2,12.8,21.5,,28.56
184,力林,2019-05-03,18.9,16,21.9,,27.63
184,力林,2019-05-04,19.2,14.7,23.3,,21.84
184,力林,2019-05-05,19,16.4,22.2,,25.95
184,力林,2019-05-06,15.9,13.4,19.2,,27.36
184,力林,2019-05-07,15.6,12.3,19.5,,28.73
184,力林,2019-05-08,16.3,11.9,19.6,,21.3
184,力林,2019-05-09,17.4,14.7,20.3,,26.39
184,力林,2019-05-10,17.6,14.3,21.4,,27.21
184,力林,2019-05-11,18.5,15,23.4,,27.2
184,力林,2019-05-12,18.7,15.7,21.5,,24.62
184,力林,2019-05-13,20.1,17.4,23.7,,11.98
184,力林,2019-05-14,20.5,18.6,23.2,,20.68
184,力林,2019-05-15,21.2,16.9,26.6,,26
184,力林,2019-05-16,23.2,18,28.3,,22.71
184,力林,2019-05-17,21.2,18.4,26.3,12,10.52
184,力林,2019-05-18,20.6,17.4,23.3,19.6,15.26
184,力林,2019-05-19,21.4,18.8,26.3,,17.71
184,力林,2019-05-20,17.3,14.9,19.8,.8,13.99
184,力林,2019-05-21,19.2,14.5,23,,29.86
184,力林,2019-05-22,23.4,19.5,27.6,,27.16
184,力林,2019-05-23,26.2,22,31.3,,27.78
184,力林,2019-05-24,28.4,23.8,33.1,,27.01
184,力林,2019-05-25,23.3,20.4,27.2,,24.18
184,力林,2019-05-26,23.1,20.3,25.4,,10.89
184,力林,2019-05-27,20.7,15.8,25.5,9.8,5.64
184,力林,2019-05-28,18.9,15.5,21.7,,28.35
184,力林,2019-05-29,22.3,18.7,27,,28.39
184,力林,2019-05-30,21.7,18,25.9,,20.7
184,力林,2019-05-31,17.9,15.6,21.4,.6,10.06
184,力林,2019-06-01,19,15.9,22.4,,24.75
184,力林,2019-06-02,20.1,17.9,24.6,,18.95
184,力林,2019-06-03,20.9,17.9,24.5,,27.7
184,力林,2019-06-04,22.8,19.4,29,,23
184,力林,2019-06-05,22.5,19.2,26.1,,27.89
184,力林,2019-06-06,23.6,19.1,28.1,13.3,18.06
184,力林,2019-06-07,19.6,18.2,25.3,,3.65
184,力林,2019-06-08,19.9,17.5,23.2,.2,13.1
184,力林,2019-06-09,20.2,17,23.2,,25.81
184,力林,2019-06-10,20.2,17.5,24.8,,23.55
184,力林,2019-06-11,20.2,18.4,22.9,,22.84
184,力林,2019-06-12,19.9,17.6,22.9,,27.86
184,力林,2019-06-13,21.9,17.6,28,,24.66
184,力林,2019-06-14,19.4,17.4,21.4,43.5,4.73
184,力林,2019-06-15,20.1,18.2,22.5,.3,20.54
184,力林,2019-06-16,20.6,18.6,23.3,,20.35
184,力林,2019-06-17,20.8,17.8,23.3,,25.14
184,力林,2019-06-18,21.6,20.5,23.3,1,9.64
184,力林,2019-06-19,21.7,19.4,24.4,,23.87
184,力林,2019-06-20,22,19.8,24.4,,20.46
184,力林,2019-06-21,22.6,20.3,26.4,,24.22
184,力林,2019-06-22,22.1,19.7,25.5,,23.03
184,力林,2019-06-23,21.1,19.3,25.6,,17.93
184,力林,2019-06-24,21.6,18.8,24.4,,27.54
184,力林,2019-06-25,24.2,19.1,28.9,,23.73
184,力林,2019-06-26,22.1,19.8,25.9,85.1,7.57
184,力林,2019-06-27,23.1,21.9,25.9,,18.03
184,力林,2019-06-28,23.5,21,25.8,,27.39
184,力林,2019-06-29,25.2,22.6,29.8,2,6.14
184,力林,2019-06-30,23.4,21.4,26.9,.4,12.39
184,力林,2019-07-01,23.4,22.3,25.6,1.9,9.64
184,力林,2019-07-02,23.3,21.8,25.7,,13.26
184,力林,2019-07-03,22.6,21.6,24.9,,13.89
184,力林,2019-07-04,22.3,20.4,25.9,,25.42
184,力林,2019-07-05,23.9,21.6,28.7,,20.15
184,力林,2019-07-06,23.8,20.8,27.2,,20.44
184,力林,2019-07-07,23.3,22.2,26.4,,12.8
184,力林,2019-07-08,21.8,20.6,22.7,3.7,4.3
184,力林,2019-07-09,22,20.9,23.6,2.2,4.89
184,力林,2019-07-10,21.4,20.5,22,104.7,1.67
184,力林,2019-07-11,23.2,20.6,26.7,1.2,22.81
184,力林,2019-07-12,23.3,21.7,25.8,.4,21.03
184,力林,2019-07-13,21.6,20.4,22.9,13.4,7.32
184,力林,2019-07-14,24.2,21.5,27.1,,24.84
184,力林,2019-07-15,24.2,22.2,26.5,,19.87
184,力林,2019-07-16,24.8,22.2,27.2,,25.69
184,力林,2019-07-17,25,22.9,28,6.8,14.51
184,力林,2019-07-18,24.2,22.9,25.9,21.3,5.3
184,力林,2019-07-19,24.1,22.3,26.2,187.7,2.16
184,力林,2019-07-20,25.7,24.6,28.2,43.8,7.86
184,力林,2019-07-21,27.3,24.8,30.7,,23.59
184,力林,2019-07-22,27.1,23.8,31.8,108.3,19.17
184,力林,2019-07-23,27.6,24.3,30.3,,26.49
184,力林,2019-07-24,27.9,25.7,30.9,,24.84
184,力林,2019-07-25,27.9,25.9,31.1,,20.8
184,力林,2019-07-26,27.8,25.3,31.2,,24.7
184,力林,2019-07-27,28.1,26.5,31,14.7,15.09
184,力林,2019-07-28,29.3,27,31.8,,25.26
184,力林,2019-07-29,28.7,26.1,31.3,,24
184,力林,2019-07-30,30.4,27.3,35.4,,27.79
184,力林,2019-07-31,29.5,27.9,32.3,,26.81
184,力林,2019-08-01,29.2,26.9,32.1,,25.05
184,力林,2019-08-02,28.8,26.7,31.2,,25.91
184,力林,2019-08-03,29,25.4,31.7,,14.86
184,力林,2019-08-04,27.9,25.9,30.2,,23.42
184,力林,2019-08-05,27.8,24.9,30.9,,22.75
184,力林,2019-08-06,28.8,26.2,32.2,,24.01
184,力林,2019-08-07,29.6,26.6,34.2,,26.34
184,力林,2019-08-08,31.1,27.7,34.7,,20.42
184,力林,2019-08-09,30.1,27.7,33.3,,16.6
184,力林,2019-08-10,29.5,28.8,30.9,,8.14
184,力林,2019-08-11,28.7,27.7,30.5,25,5.55
184,力林,2019-08-12,29.7,27.2,33.9,12,18.23
184,力林,2019-08-13,29.2,26.8,31.2,,21.43
184,力林,2019-08-14,28.6,26.8,31.6,1.2,22.32
184,力林,2019-08-15,27.1,26.4,27.9,,4.57
184,力林,2019-08-16,27.7,25.7,30.9,4.5,24.02
184,力林,2019-08-17,28.8,25.7,32.6,,25.45
184,力林,2019-08-18,27.2,25.9,29.7,,17.66
184,力林,2019-08-19,26.3,24.6,29.1,,17.54
184,力林,2019-08-20,27.1,25.7,30.1,.1,14.92
184,力林,2019-08-21,28.1,25.3,31.6,3.4,17.14
184,力林,2019-08-22,28.5,25.8,31.8,6.3,15.13
184,力林,2019-08-23,27.4,26.2,30.7,,14.39
184,力林,2019-08-24,27,25.2,28.8,,18.08
184,力林,2019-08-25,25.5,23.3,27.7,.1,8.01
184,力林,2019-08-26,25.9,23.5,28.3,.3,9.68
184,力林,2019-08-27,26.9,24.5,31,87.2,3.26
184,力林,2019-08-28,24.8,23,27,33.3,3.4
184,力林,2019-08-29,23.3,21.3,25.4,68.9,4
184,力林,2019-08-30,25.5,22.2,28.8,,24.09
184,力林,2019-08-31,24.9,20.8,28.2,,23.57
184,力林,2019-09-01,23.3,20.6,26.3,26.1,5.21
184,力林,2019-09-02,24.1,21.9,26.6,25.7,9.02
184,力林,2019-09-03,24.8,22.4,26.7,13.9,7.11
184,力林,2019-09-04,24.7,23.7,27.9,43,2.52
184,力林,2019-09-05,26.2,23.4,30.4,7,11.68
184,力林,2019-09-06,26.8,25.1,28.6,68.8,3.95
184,力林,2019-09-07,27.6,24.9,30.3,34.3,21.93
184,力林,2019-09-08,24.5,23.4,26.3,19,6.02
184,力林,2019-09-09,26.2,23.7,29,24.7,5.9
184,力林,2019-09-10,27,24,29.4,,18.71
184,力林,2019-09-11,26,24.1,29.3,5,17.45
184,力林,2019-09-12,24.1,23,25.1,.6,4.05
184,力林,2019-09-13,24,22.1,26.7,,16.62
184,力林,2019-09-14,24.3,21.7,26.9,,22.5
184,力林,2019-09-15,24.6,22.9,26.9,,19.98
184,力林,2019-09-16,24.6,23.6,27,,17.86
184,力林,2019-09-17,23.8,22,25.8,,17.56
184,力林,2019-09-18,23.3,20.6,27.6,,20.29
184,力林,2019-09-19,22.8,19.3,25.9,,19.53
184,力林,2019-09-20,22.5,19.9,25,,13.88
184,力林,2019-09-21,20.5,19.1,21.7,156,1.49
184,力林,2019-09-22,20.4,19.1,21.7,126.2,.81
184,力林,2019-09-23,21,18.4,24.5,,14.43
184,力林,2019-09-24,20.4,16.7,25.2,,20.83
184,力林,2019-09-25,21.8,18.3,25.2,,18.61
184,力林,2019-09-26,23.8,21.3,27.7,1,16.34
184,力林,2019-09-27,23.8,22.7,25.7,36,7.53
184,力林,2019-09-28,24.1,23.1,25.6,.7,7.61
184,力林,2019-09-29,24.1,22.9,26.3,,11.51
184,力林,2019-09-30,23.6,22,26.8,22.6,8.87
184,力林,2019-10-01,23.4,20.5,26.4,36.3,3.44
184,力林,2019-10-02,24.8,20.6,27.3,136.2,3.06
184,力林,2019-10-03,23.4,21.9,26.2,.2,10.49
184,力林,2019-10-04,23.1,21.2,26.1,,13.66
184,力林,2019-10-05,20.8,18.4,23.2,,6.21
184,力林,2019-10-06,20.8,17,24.6,1,14.23
184,力林,2019-10-07,21.8,20.2,23.6,,3.78
184,力林,2019-10-08,20.5,17.4,24,,13.29
184,力林,2019-10-09,17.6,14.2,21.5,,20.31
184,力林,2019-10-10,19,14,23.1,,19.04
184,力林,2019-10-11,21,17.1,23.9,,18.5
184,力林,2019-10-12,21.4,18.7,24.8,,18.15
184,力林,2019-10-13,19.7,17.1,22.8,,15.89
184,力林,2019-10-14,19.3,16.7,23.2,,12.23
184,力林,2019-10-15,17.4,15.2,19.1,3.2,3.93
184,力林,2019-10-16,18.1,15.8,21.3,,16.44
184,力林,2019-10-17,19.3,16.2,21.8,,11.96
184,力林,2019-10-18,19.1,18.1,20.5,8.3,1.16
184,力林,2019-10-19,19.8,17.7,22.7,,14.45
184,力林,2019-10-20,19.1,15.4,21.8,,10.43
184,力林,2019-10-21,19.9,17.4,22.9,,16.44
184,力林,2019-10-22,20.8,18.6,22.5,.5,11.84
184,力林,2019-10-23,20.3,19.2,21.8,.6,6.01
184,力林,2019-10-24,20.1,18.4,22.3,2.3,7.78
184,力林,2019-10-25,20.1,16.8,23.5,,14.43
184,力林,2019-10-26,16.5,15.5,19.4,,7.23
184,力林,2019-10-27,16,13.7,18.7,,14.53
184,力林,2019-10-28,15.7,11.9,19.2,,15.12
184,力林,2019-10-29,17.9,15.2,20.8,,11.97
184,力林,2019-10-30,16.3,13.7,19.5,,15.77
184,力林,2019-10-31,16.5,12.1,20.7,,16.37
184,力林,2019-11-01,18.3,15.6,22,,14.38
184,力林,2019-11-02,18.6,15.6,22.7,,10.96
184,力林,2019-11-03,17.5,15.2,20.4,,4.92
184,力林,2019-11-04,17.3,13.5,20.6,,12.94
184,力林,2019-11-05,17.3,14.6,20.3,,13.67
184,力林,2019-11-06,15.8,12.3,19.4,,14.56
184,力林,2019-11-07,15.9,13.4,19.3,,10
184,力林,2019-11-08,13.8,12.4,17.3,,11.84
184,力林,2019-11-09,14.4,11.9,18.1,,14.78
184,力林,2019-11-10,15.5,10.3,19.7,2.9,8.7
184,力林,2019-11-11,17.1,15.3,19.5,,10.01
184,力林,2019-11-12,14.7,12.1,17.9,,12.11
184,力林,2019-11-13,15,11.8,18.3,1.7,3.75
184,力林,2019-11-14,11.2,7.9,14.5,,12.4
184,力林,2019-11-15,12.1,7,17.2,,13.97
184,力林,2019-11-16,16,10.6,21.3,,12.04
184,力林,2019-11-17,20.1,14.9,24.3,,10.21
184,力林,2019-11-18,13.7,11.2,22.7,6.1,2.35
184,力林,2019-11-19,10.6,9.9,12.3,,4.51
184,力林,2019-11-20,9.9,7.8,12.5,,13.12
184,力林,2019-11-21,13.1,7.8,17.1,,12.19
184,力林,2019-11-22,17.1,13.5,21.8,,11.36
184,力林,2019-11-23,18.1,14.5,21.7,,12.56
184,力林,2019-11-24,17.3,13.7,19.5,4.7,4.69
184,力林,2019-11-25,10.1,9.2,13.9,,3.68
184,力林,2019-11-26,13.5,9.7,15.3,8.2,1.86
184,力林,2019-11-27,11.1,9.3,14.8,3.8,.98
184,力林,2019-11-28,10.8,8.8,12.6,,7.37
184,力林,2019-11-29,9.7,6.9,12.6,,13.02
184,力林,2019-11-30,12.5,6.9,18,.1,11
184,力林,2019-12-01,12.5,11.1,15.1,18.9,1.13
184,力林,2019-12-02,9.9,7.4,11.8,,3.63
184,力林,2019-12-03,9.5,7.5,10.8,,3.46
184,力林,2019-12-04,11.3,10,14.1,,7.47
184,力林,2019-12-05,8.7,5.7,11.5,,6.41
184,力林,2019-12-06,4.2,3.2,5.8,,3.93
184,力林,2019-12-07,7.5,4.3,9.5,,6.84
184,力林,2019-12-08,8.7,6,10.2,,3.92
184,力林,2019-12-09,10.7,5.9,15.2,,10.57
184,力林,2019-12-10,13.3,8.5,18.7,,10.5
184,力林,2019-12-11,12.9,9.6,18,,8.85
184,力林,2019-12-12,8.3,5.4,10.3,,9.43
184,力林,2019-12-13,8.6,4.6,12.9,,10.43
184,力林,2019-12-14,10,6.9,12.7,,7.3
184,力林,2019-12-15,12.5,6.9,17.4,,8.25
184,力林,2019-12-16,14.9,12.2,18.2,.1,10.31
184,力林,2019-12-17,14.1,10.9,17.6,7.3,2.15
184,力林,2019-12-18,8.8,7.4,10.9,,4.33
184,力林,2019-12-19,7.8,7,9.4,,5.58
184,力林,2019-12-20,8.4,6.9,11.1,,4.98
184,力林,2019-12-21,8,5.6,10.1,,3.17
184,力林,2019-12-22,9.6,6.8,11.6,1,2.06
184,力林,2019-12-23,9.4,6.7,12.4,,4.32
184,力林,2019-12-24,9.2,7.3,11.9,,9.25
184,力林,2019-12-25,11.4,7,15.1,.1,4.61
184,力林,2019-12-26,9.9,6.7,13.1,9.4,.81
184,力林,2019-12-27,6.7,5.7,7.3,,2.17
184,力林,2019-12-28,7.7,6.1,9.7,,10.06
184,力林,2019-12-29,11.8,7.1,16.4,11.4,1.29
184,力林,2019-12-30,11.5,6.3,13.6,,3.08
184,力林,2019-12-31,2.9,1.8,6.4,,4.1
184,力林,2020-01-01,5.2,2.4,7.3,,3.86
184,力林,2020-01-02,8.1,5.5,9.2,,2.17
184,力林,2020-01-03,8.8,6.4,11.4,,4.96
184,力林,2020-01-04,7.9,5.1,11.4,,10.1
184,力林,2020-01-05,8.5,4.3,11.1,,9.79
184,力林,2020-01-06,14.5,10.1,18.9,.3,1.3
184,力林,2020-01-07,19.2,12.8,23.6,12.4,8.37
184,力林,2020-01-08,8.1,6.9,13.2,1.4,2.03
184,力林,2020-01-09,7.3,6.7,8.2,,3.75
184,力林,2020-01-10,8,4.3,11,,11.44
184,力林,2020-01-11,8,6.9,9.1,,4.78
184,力林,2020-01-12,7.5,6.7,8.5,0,3.32
184,力林,2020-01-13,7.1,6.1,8.8,0,5.47
184,力林,2020-01-14,4.8,3.4,6.2,4.6,1.52
184,力林,2020-01-15,5.6,4.6,7.2,0,3.5
184,力林,2020-01-16,6.3,4.6,8,,6.69
184,力林,2020-01-17,6.9,6,9.2,,10.62
184,力林,2020-01-18,7,6.2,9,,6.7
185,绊魂,2010-12-01,15.9,13.4,19.9,,8.95
185,绊魂,2010-12-02,14.9,13,16.5,4,2.89
185,绊魂,2010-12-03,8.5,6.9,15,,12.65
185,绊魂,2010-12-04,9.8,4.6,13.2,,13.99
185,绊魂,2010-12-05,13.7,10,16.4,,5.3
185,绊魂,2010-12-06,9.9,5.9,15,.5,4.04
185,绊魂,2010-12-07,6.1,5.6,7.2,,4.03
185,绊魂,2010-12-08,8.6,5.1,11.4,0,6.05
185,绊魂,2010-12-09,6.8,4.9,8.2,0,5.95
185,绊魂,2010-12-10,11.6,3.6,16,,10.22
185,绊魂,2010-12-11,7,3.3,13.4,,9.59
185,绊魂,2010-12-12,7.3,2.5,10.6,5.5,3.12
185,绊魂,2010-12-13,10.8,8.5,12.3,27,2.06
185,绊魂,2010-12-14,6,2.7,9.8,,3.14
185,绊魂,2010-12-15,2.9,1.2,4.1,.3,3.86
185,绊魂,2010-12-16,3.7,1.5,5.2,.5,4.54
185,绊魂,2010-12-17,7.2,4.8,9.6,0,3.21
185,绊魂,2010-12-18,9.3,5.7,12,,11.58
185,绊魂,2010-12-19,14.1,11.7,16.2,,8.01
185,绊魂,2010-12-20,10.3,8.7,12.5,,12.71
185,绊魂,2010-12-21,10.5,8.6,14.2,,8.13
185,绊魂,2010-12-22,8.9,7.6,10.9,,12.68
185,绊魂,2010-12-23,8.1,4.1,11.7,,9.56
185,绊魂,2010-12-24,1.2,-.7,4.3,.1,3.78
185,绊魂,2010-12-25,2.1,-.1,3.7,.2,4.37
185,绊魂,2010-12-26,3.2,1.2,5.4,5,3.16
185,绊魂,2010-12-27,8.1,4.6,10.9,0,7.36
185,绊魂,2010-12-28,8.4,4.4,12.2,0,6.53
185,绊魂,2010-12-29,5.5,4,7.9,,10.57
185,绊魂,2010-12-30,3.4,-1.3,8.9,.4,5.11
185,绊魂,2010-12-31,1.1,-1.3,3,2.6,4.74
185,绊魂,2011-01-01,2.3,-.1,3.6,2.5,4.65
185,绊魂,2011-01-02,3.8,2.7,4.7,0,6.92
185,绊魂,2011-01-03,3.9,3.2,4.8,0,4.16
185,绊魂,2011-01-04,4.2,2.8,4.9,.4,2.07
185,绊魂,2011-01-05,4.7,3.3,5.7,.4,2.24
185,绊魂,2011-01-06,3,1.2,4.9,.5,6.17
185,绊魂,2011-01-07,2.6,1.7,4,,3.04
185,绊魂,2011-01-08,4.9,1.7,6.6,.1,5.49
185,绊魂,2011-01-09,3.5,0,6.8,.5,4.07
185,绊魂,2011-01-10,.8,-.5,1.9,.5,2.62
185,绊魂,2011-01-11,2.1,-.2,4.3,1,3.07
185,绊魂,2011-01-12,2.2,0,4.3,0,6.86
185,绊魂,2011-01-13,2,-.1,4.5,,11.23
185,绊魂,2011-01-14,4.5,1.3,7.8,,10.36
185,绊魂,2011-01-15,.8,-3.4,4.6,.1,5.13
185,绊魂,2011-01-16,-.3,-3.6,.7,.2,5.65
185,绊魂,2011-01-17,1.7,-.5,2.8,0,2.73
185,绊魂,2011-01-18,2.9,2,4,0,3.76
185,绊魂,2011-01-19,2.8,2.1,4.2,,9.2
185,绊魂,2011-01-20,2.2,.9,3.8,0,3.41
185,绊魂,2011-01-21,2.1,.9,3.1,,4.64
185,绊魂,2011-01-22,3.3,2.3,5.8,,13.55
185,绊魂,2011-01-23,5,2.5,8.4,0,10.44
185,绊魂,2011-01-24,1.3,.2,3.9,0,3.93
185,绊魂,2011-01-25,1.8,.5,3.2,,3.44
185,绊魂,2011-01-26,2.1,.8,4,,5.98
185,绊魂,2011-01-27,.9,-.2,1.7,,12.09
185,绊魂,2011-01-28,1.2,.6,2.1,,11.4
185,绊魂,2011-01-29,1.2,-1,3.9,0,8.81
185,绊魂,2011-01-30,.1,-2.1,1.4,.3,6.82
185,绊魂,2011-01-31,1.8,-1.2,4,0,6.29
185,绊魂,2011-02-01,5.7,2.7,9.9,,14.62
185,绊魂,2011-02-02,6.6,4.9,9.1,0,13.45
185,绊魂,2011-02-03,8.4,4,13.2,,13.17
185,绊魂,2011-02-04,9.1,6.7,14.2,,13.85
185,绊魂,2011-02-05,7.7,5.6,9.6,,13.99
185,绊魂,2011-02-06,10.1,5.4,14.3,,13.95
185,绊魂,2011-02-07,7.5,4.3,12.9,,15.36
185,绊魂,2011-02-08,9.7,6,12.3,7,1.82
185,绊魂,2011-02-09,5.2,3.8,7.7,,13.65
185,绊魂,2011-02-10,2.8,1.2,4.3,4,2.53
185,绊魂,2011-02-11,2.6,1.7,3.8,0,5.88
185,绊魂,2011-02-12,.2,-2.3,2.3,.1,7.4
185,绊魂,2011-02-13,1.3,-.5,2.4,,10.65
185,绊魂,2011-02-14,1.8,0,3.2,1,5.74
185,绊魂,2011-02-15,2.8,.9,5.4,,16.48
185,绊魂,2011-02-16,7,2.4,10.4,15,4.84
185,绊魂,2011-02-17,5.5,4,7.9,1,10.21
185,绊魂,2011-02-18,5.5,2.5,7.9,,16.38
185,绊魂,2011-02-19,7.7,5.4,10.7,,14.51
185,绊魂,2011-02-20,8.6,5.2,13.5,,16.76
185,绊魂,2011-02-21,9.1,6.3,13.1,,16.72
185,绊魂,2011-02-22,9.4,5.7,12.6,,12.33
185,绊魂,2011-02-23,11.6,7.9,16.6,,15.34
185,绊魂,2011-02-24,11.5,8,15.3,,18.18
185,绊魂,2011-02-25,8.7,7.6,10.5,,18.17
185,绊魂,2011-02-26,12.9,4.9,17.8,,15.5
185,绊魂,2011-02-27,14.7,11,16.9,5,4.53
