일시,평균기온,최고기온 평균,최저기온 평균,강수량mm
 2013-12,7.9,10.9,5,81.3
 2014-01,6.9,10.3,3.3,50.2
 2014-02,7.5,10.4,4.9,170.5
 2014-03,10.7,14,7.3,207
 2014-04,14.7,18.3,11.5,198.2
 2014-05,18.5,22.6,14.8,276
 2014-06,21.3,24.3,18.9,300.9
 2014-07,24.8,27.5,22.6,435
 2014-08,25,27.5,23.2,555.1
 2014-09,23.6,26.6,20.9,178.7
 2014-10,19.3,22.6,16.3,203.9
 2014-11,14.1,17.4,11.2,114.6
 2014-12,7,10.2,3.8,76.8
 2015-01,7.3,10.5,4.2,108.6
 2015-02,7.1,10.3,4.1,180.7
 2015-03,10.1,13.6,6.7,189.9
 2015-04,14.3,18,11.1,290.7
 2015-05,18.1,22,14.9,426.5
 2015-06,21,24,18.6,271.5
 2015-07,24.4,27.3,22.2,396.8
 2015-08,26,29.1,23.6,248.6
 2015-09,22.7,25.8,20,295.1
 2015-10,18.7,22.5,15.3,61
 2015-11,15,17.7,12.2,292.7
 2015-12,9.7,12.4,7,112.7
 2016-01,5.7,8.4,3.3,167.8
 2016-02,7,10.2,3.9,143.4
 2016-03,10.4,13.9,7.1,206.7
 2016-04,15.2,19,12,294.4
 2016-05,18.4,22.1,15.1,216.6
 2016-06,21.6,24.6,19.3,281.2
 2016-07,26.4,29.1,24.2,203.2
 2016-08,28,31.2,25.3,170.9
 2016-09,23.6,26.3,21.4,276.1
 2016-10,20,22.9,17.8,433.6
 2016-11,13.7,17,10.8,92.9
 2016-12,9.6,13,6.5,144
 2017-01,6.7,9.8,3.9,55.6
 2017-02,6.8,10.5,3.1,86.9
 2017-03,9.7,13.2,6.3,60.4
 2017-04,15.2,18.9,11.7,222.5
 2017-05,18.8,22.9,15.3,66.4
 2017-06,21.7,25.1,18.9,247.4
 2017-07,27.9,31,25.6,427.5
 2017-08,28,31.4,25.4,437.3
 2017-09,23.8,27,21.2,102.8
 2017-10,19.2,22,16.6,389.1
 2017-11,12.7,16.3,9.1,19.2
 2017-12,6.9,9.9,3.9,31.8
 2018-01,4.9,7.7,2.2,102.4
 2018-02,5.5,8.8,2.4,125.7
 2018-03,11.2,15.1,7.7,179.5
 2018-04,15.5,19.3,12.1,312
 2018-05,18.4,22,15.5,356.1
 2018-06,21.7,25,19,377.2
 2018-07,26.7,29.6,24.5,48.7
 2018-08,28,31.1,25.7,376.5
 2018-09,23.5,26.5,21,521.8
 2018-10,17.5,20.8,14.4,347
 2018-11,13.9,17.4,10.6,55.6
 2018-12,8.8,11.6,6.3,96
 평균,15.9,19.2,12.8,192.7
