일시,평균기온,최고기온 평균,최저기온 평균,강수량mm,합계전천일사량(MJ/㎡),평균상대습도(%)
 2013-09,24.2,27.4,21.4,90.1,517.58,78
 2013-10,19.7,22.8,16.8,116.6,476.96,74
 2013-11,12.8,16.2,9.5,145.9,285.47,70
 2013-12,7.9,10.9,5,81.3,222.11,67
 2014-01,6.9,10.3,3.3,50.2,279.78,63
 2014-02,7.5,10.4,4.9,170.5,293.67,71
 2014-03,10.7,14,7.3,207,454.87,72
 2014-04,14.7,18.3,11.5,198.2,535.26,73
 2014-05,18.5,22.6,14.8,276,682.63,80
 2014-06,21.3,24.3,18.9,300.9,529.41,89
 2014-07,24.8,27.5,22.6,435,468.17,92
 2014-08,25,27.5,23.2,555.1,402.01,90
 2014-09,23.6,26.6,20.9,178.7,429.36,79
 2014-10,19.3,22.6,16.3,203.9,396.31,75
 2014-11,14.1,17.4,11.2,114.6,242.51,71
 2014-12,7,10.2,3.8,76.8,163.23,70
 2015-01,7.3,10.5,4.2,108.6,203.06,70
 2015-02,7.1,10.3,4.1,180.7,229.42,69
 2015-03,10.1,13.6,6.7,189.9,448.34,70
 2015-04,14.3,18,11.1,290.7,457.56,82
 2015-05,18.1,22,14.9,426.5,660.45,80
 2015-06,21,24,18.6,271.5,479.34,90
 2015-07,24.4,27.3,22.2,396.8,593.93,92
 2015-08,26,29.1,23.6,248.6,530.07,86
 2015-09,22.7,25.8,20,295.1,494.55,78
 2015-10,18.7,22.5,15.3,61,455.29,71
 2015-11,15,17.7,12.2,292.7,175.93,81
 2015-12,9.7,12.4,7,112.7,168.6,71
 2016-01,5.7,8.4,3.3,167.8,132.75,71
 2016-02,7,10.2,3.9,143.4,268.97,66
 2016-03,10.4,13.9,7.1,206.7,479.48,72
 2016-04,15.2,19,12,294.4,483.09,84
 2016-05,18.4,22.1,15.1,216.6,591.9,82
 2016-06,21.6,24.6,19.3,281.2,451.38,91
 2016-07,26.4,29.1,24.2,203.2,610.55,92
 2016-08,28,31.2,25.3,170.9,631.34,79
 2016-09,23.6,26.3,21.4,276.1,367.08,86
 2016-10,20,22.9,17.8,433.6,276.31,81
 2016-11,13.7,17,10.8,92.9,247.4,73
 2016-12,9.6,13,6.5,144,203.16,71
 2017-01,6.7,9.8,3.9,55.6,201.43,69
 2017-02,6.8,10.5,3.1,86.9,307.85,67
 2017-03,9.7,13.2,6.3,60.4,433.79,65
 2017-04,15.2,18.9,11.7,222.5,545.76,79
 2017-05,18.8,22.9,15.3,66.4,682.11,81
 2017-06,21.7,25.1,18.9,247.4,584.91,88
 2017-07,27.9,31,25.6,427.5,617.2,95
 2017-08,28,31.4,25.4,437.3,619.22,84
 2017-09,23.8,27,21.2,102.8,414.01,79
 2017-10,19.2,22,16.6,389.1,316.02,80
 2017-11,12.7,16.3,9.1,19.2,288.3,72
 2017-12,6.9,9.9,3.9,31.8,183.32,67
 2018-01,4.9,7.7,2.2,102.4,184.41,73
 2018-02,5.5,8.8,2.4,125.7,286.47,66
 2018-03,11.2,15.1,7.7,179.5,450.58,84
 2018-04,15.5,19.3,12.1,312,550.16,83
 2018-05,18.4,22,15.5,356.1,543.09,87
 2018-06,21.7,25,19,377.2,576.1,89
 2018-07,26.7,29.6,24.5,48.7,632.09,93
 2018-08,28,31.1,25.7,376.5,613.7,92
 2018-09,23.5,26.5,21,521.8,394.68,85
 2018-10,17.5,20.8,14.4,347,390.77,71
 2018-11,13.9,17.4,10.6,55.6,294.87,72
 2018-12,8.8,11.6,6.3,96,158.62,72
