분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 고산,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
17-Sep,23.3,26.4,29.3,20.9,18.3
17-Oct,18.7,21.3,27.3,16.4,10.1
17-Nov,12.7,15.9,22.9,9.4,0
17-Dec,7.2,9.7,16.2,4.6,0.7
18-Jan,4.9,7.4,16.1,2.5,-2.7
18-Feb,5.5,8.2,15,2.8,-2.5
18-Mar,11,14.9,21.4,7.7,2.8
18-Apr,15.1,18.6,23.2,12.4,4.1
18-May,17.9,21.3,24.9,15,11.2
18-Jun,21.3,24.7,27.2,18.8,15.2
18-Jul,26.5,29.5,33.8,24.4,19.4
18-Aug,27.7,31.1,35.5,25.3,22.6
18-Sep,23.4,26.3,30,21.1,17.1
18-Oct,17.6,20.2,24.2,15.2,10.7
18-Nov,14,16.7,20.3,11.4,5.9
18-Dec,8.7,11.2,21.9,6.4,0.4
